# Vollständige Liste: pro PLZ-2 und Rolle ein eigener Datensatz
# Bearbeitung: Name, Tel, Mail je Zeile anpassen
plz2,role,name,tel,mail
95,KAMLIGHT,KAMLIGHT Team PLZ 95,+49 30 10951 101,kamlight.plz95@firma.de
95,KAMHEAVY,KAMHEAVY Team PLZ 95,+49 30 10952 102,kamheavy.plz95@firma.de
96,VAD,VAD Team PLZ 96,+49 30 10960 100,vad.plz96@firma.de
96,KAMLIGHT,KAMLIGHT Team PLZ 96,+49 30 10961 101,kamlight.plz96@firma.de
96,KAMHEAVY,KAMHEAVY Team PLZ 96,+49 30 10962 102,kamheavy.plz96@firma.de
97,VAD,VAD Team PLZ 97,+49 30 10970 100,vad.plz97@firma.de
97,KAMLIGHT,KAMLIGHT Team PLZ 97,+49 30 10971 101,kamlight.plz97@firma.de
97,KAMHEAVY,KAMHEAVY Team PLZ 97,+49 30 10972 102,kamheavy.plz97@firma.de
98,VAD,VAD Team PLZ 98,+49 30 10980 100,vad.plz98@firma.de
98,KAMLIGHT,KAMLIGHT Team PLZ 98,+49 30 10981 101,kamlight.plz98@firma.de
98,KAMHEAVY,KAMHEAVY Team PLZ 98,+49 30 10982 102,kamheavy.plz98@firma.de
99,VAD,VAD Team PLZ 99,+49 30 10990 100,vad.plz99@firma.de
99,KAMLIGHT,KAMLIGHT Team PLZ 99,+49 30 10991 101,kamlight.plz99@firma.de
99,KAMHEAVY,KAMHEAVY Team PLZ 99,+49 30 10992 102,kamheavy.plz99@firma.de
